name,url
Convolosaurus,https://en.wikipedia.org/wiki/Convolosaurus
Coronosaurus,https://en.wikipedia.org/wiki/Coronosaurus
Corythoraptor,https://en.wikipedia.org/wiki/Corythoraptor
Corythosaurus,https://en.wikipedia.org/wiki/Corythosaurus
Craspedodon,https://en.wikipedia.org/wiki/Craspedodon
Craterosaurus,https://en.wikipedia.org/wiki/Craterosaurus
Crichtonpelta,https://en.wikipedia.org/wiki/Crichtonpelta
Crichtonsaurus,https://en.wikipedia.org/wiki/Crichtonsaurus
Cristatusaurus,https://en.wikipedia.org/wiki/Cristatusaurus
Crittendenceratops,https://en.wikipedia.org/wiki/Crittendenceratops
Crocodilia,https://en.wikipedia.org/wiki/Crocodilia
Crosbysaurus,https://en.wikipedia.org/wiki/Crosbysaurus
Crurotarsi,https://en.wikipedia.org/wiki/Crurotarsi
Cruxicheiros,https://en.wikipedia.org/wiki/Cruxicheiros
Cryolophosaurus,https://en.wikipedia.org/wiki/Cryolophosaurus
Cryptosaurus,https://en.wikipedia.org/wiki/Cryptosaurus
Cumnoria,https://en.wikipedia.org/wiki/Cumnoria
Daanosaurus,https://en.wikipedia.org/wiki/Daanosaurus
Dacentrurus,https://en.wikipedia.org/wiki/Dacentrurus
Daemonosaurus,https://en.wikipedia.org/wiki/Daemonosaurus
Dahalokely,https://en.wikipedia.org/wiki/Dahalokely
Dakosaurus,https://en.wikipedia.org/wiki/Dakosaurus
Dakotadon,https://en.wikipedia.org/wiki/Dakotadon
Dakotaraptor,https://en.wikipedia.org/wiki/Dakotaraptor
Daliansaurus,https://en.wikipedia.org/wiki/Daliansaurus
Dandakosaurus,https://en.wikipedia.org/wiki/Dandakosaurus
Dashanpusaurus,https://en.wikipedia.org/wiki/Dashanpusaurus
Daspletosaurus,https://en.wikipedia.org/wiki/Daspletosaurus
Dasygnathoides,https://en.wikipedia.org/wiki/Dasygnathoides
Datanglong,https://en.wikipedia.org/wiki/Datanglong
Datonglong,https://en.wikipedia.org/wiki/Datonglong
Datousaurus,https://en.wikipedia.org/wiki/Datousaurus
Daxiatitan,https://en.wikipedia.org/wiki/Daxiatitan
Deinocheirus,https://en.wikipedia.org/wiki/Deinocheirus
Deinodon,https://en.wikipedia.org/wiki/Deinodon
Deinonychus,https://en.wikipedia.org/wiki/Deinonychus
Deltadromeus,https://en.wikipedia.org/wiki/Deltadromeus
Demandasaurus,https://en.wikipedia.org/wiki/Demandasaurus
Denversaurus,https://en.wikipedia.org/wiki/Denversaurus
Deuterosaurus,https://en.wikipedia.org/wiki/Deuterosaurus
